Loading environment ...
Environment loaded.
Begin training
Loaded 14000 samples | Energies present: [1.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0]
mu_logE=3.516262, sigma_logE=1.329275
Group G0 | Cumulative training will start at epoch 1
[G0] Epoch 049 | Train 0.016037 | Val 0.029017 | MAE 4.791920 | RMSE 7.343135
[G0] Epoch 050 | Train 0.015818 | Val 0.029034 | MAE 4.788070 | RMSE 7.342339
[G0] Epoch 051 | Train 0.016107 | Val 0.029113 | MAE 4.965012 | RMSE 7.583863
[G0] Epoch 052 | Train 0.015892 | Val 0.029014 | MAE 4.779227 | RMSE 7.325805
[G0] Epoch 053 | Train 0.016081 | Val 0.029190 | MAE 4.791026 | RMSE 7.354716
[G0] Epoch 054 | Train 0.015624 | Val 0.029070 | MAE 4.798923 | RMSE 7.325948
[G0] Epoch 055 | Train 0.015472 | Val 0.029165 | MAE 4.787373 | RMSE 7.303371
[G0] Epoch 056 | Train 0.015519 | Val 0.028998 | MAE 4.764637 | RMSE 7.307676
[G0] Epoch 057 | Train 0.015425 | Val 0.029041 | MAE 4.774845 | RMSE 7.309868
[G0] Epoch 058 | Train 0.015334 | Val 0.028987 | MAE 4.774445 | RMSE 7.315888
[G0] Epoch 059 | Train 0.015128 | Val 0.028973 | MAE 4.777697 | RMSE 7.324260
[G0] Epoch 060 | Train 0.015426 | Val 0.029130 | MAE 4.769573 | RMSE 7.299453
[G0] Epoch 061 | Train 0.015495 | Val 0.028958 | MAE 4.778124 | RMSE 7.310118
[G0] Epoch 062 | Train 0.014911 | Val 0.029085 | MAE 4.775016 | RMSE 7.294669
[G0] Epoch 063 | Train 0.015059 | Val 0.029041 | MAE 4.805634 | RMSE 7.354532
[G0] Epoch 064 | Train 0.015691 | Val 0.029266 | MAE 4.792331 | RMSE 7.303739
[G0] Epoch 065 | Train 0.015009 | Val 0.028899 | MAE 4.772024 | RMSE 7.303268
💾 New best (val=0.028899) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 066 | Train 0.014896 | Val 0.029039 | MAE 4.784584 | RMSE 7.299364
[G0] Epoch 067 | Train 0.014816 | Val 0.029002 | MAE 4.769335 | RMSE 7.299773
[G0] Epoch 068 | Train 0.014865 | Val 0.028987 | MAE 4.785416 | RMSE 7.302330
[G0] Epoch 069 | Train 0.015076 | Val 0.029052 | MAE 4.796101 | RMSE 7.334323
[G0] Epoch 070 | Train 0.015226 | Val 0.028986 | MAE 4.790594 | RMSE 7.305833
[G0] Epoch 071 | Train 0.014871 | Val 0.029033 | MAE 4.778287 | RMSE 7.301078
[G0] Epoch 072 | Train 0.014880 | Val 0.028939 | MAE 4.770905 | RMSE 7.294315
[G0] Epoch 073 | Train 0.015039 | Val 0.029015 | MAE 4.771576 | RMSE 7.296169
[G0] Epoch 074 | Train 0.014836 | Val 0.029047 | MAE 4.780577 | RMSE 7.296299
[G0] Epoch 075 | Train 0.014912 | Val 0.028979 | MAE 4.774925 | RMSE 7.294403
[G0] Epoch 076 | Train 0.014689 | Val 0.029044 | MAE 4.786883 | RMSE 7.314870
[G0] Epoch 077 | Train 0.014890 | Val 0.029106 | MAE 4.772804 | RMSE 7.293152
[G0] Epoch 078 | Train 0.014814 | Val 0.028997 | MAE 4.770933 | RMSE 7.295253
[G0] Epoch 079 | Train 0.014542 | Val 0.028956 | MAE 4.771068 | RMSE 7.297333
[G0] Epoch 080 | Train 0.014538 | Val 0.028989 | MAE 4.787945 | RMSE 7.321328
[G0] Epoch 081 | Train 0.015196 | Val 0.028966 | MAE 4.770904 | RMSE 7.299043
[G0] Epoch 082 | Train 0.015001 | Val 0.028967 | MAE 4.772042 | RMSE 7.295540
[G0] Epoch 083 | Train 0.014691 | Val 0.028942 | MAE 4.774529 | RMSE 7.302482
[G0] Epoch 084 | Train 0.014970 | Val 0.028997 | MAE 4.780875 | RMSE 7.306983
[G0] Epoch 085 | Train 0.014662 | Val 0.029003 | MAE 4.771624 | RMSE 7.294034
[G0] Epoch 086 | Train 0.014647 | Val 0.029048 | MAE 4.772418 | RMSE 7.289442
[G0] Epoch 087 | Train 0.015071 | Val 0.028947 | MAE 4.769711 | RMSE 7.299364
[G0] Epoch 088 | Train 0.014828 | Val 0.028973 | MAE 4.769030 | RMSE 7.291275
[G0] Epoch 089 | Train 0.014796 | Val 0.029024 | MAE 4.773396 | RMSE 7.291039
[G0] Epoch 090 | Train 0.014737 | Val 0.029011 | MAE 4.770280 | RMSE 7.291358
[G0] Epoch 091 | Train 0.014867 | Val 0.028971 | MAE 4.770901 | RMSE 7.291856
[G0] Epoch 092 | Train 0.015060 | Val 0.029060 | MAE 4.775236 | RMSE 7.291703
[G0] Epoch 093 | Train 0.014690 | Val 0.028989 | MAE 4.776006 | RMSE 7.300154
[G0] Epoch 094 | Train 0.014521 | Val 0.028992 | MAE 4.772317 | RMSE 7.292159
[G0] Epoch 095 | Train 0.014847 | Val 0.029011 | MAE 4.776630 | RMSE 7.301356
[G0] Epoch 096 | Train 0.014980 | Val 0.028999 | MAE 4.776919 | RMSE 7.297647
[G0] Epoch 097 | Train 0.014510 | Val 0.029037 | MAE 4.778027 | RMSE 7.299980
[G0] Epoch 098 | Train 0.014764 | Val 0.029008 | MAE 4.774520 | RMSE 7.292466
[G0] Epoch 099 | Train 0.014226 | Val 0.028950 | MAE 4.774744 | RMSE 7.302783
[G0] Epoch 100 | Train 0.014679 | Val 0.028954 | MAE 4.772597 | RMSE 7.294448
[G0] Finished. Best val=0.028899. Logs in /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200
Training finished
