Loading environment ...
Environment loaded.
Begin training
Loaded 14000 samples | Energies present: [1.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0]
mu_logE=3.516262, sigma_logE=1.329275
Group G0 | Cumulative training will start at epoch 1
[G0] Epoch 088 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 089 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 090 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 091 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 092 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 093 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 094 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 095 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 096 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 097 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 098 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 099 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 100 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Finished. Best val=inf. Logs in /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_20x20_model/NN_model_20x20
Training finished
